Species,CulmenLength,CulmenDepth,FlipperLength,OriginLocation,BodyMass
Adelie,39.1,18.7,181.0,2,3750.0
Adelie,39.5,17.4,186.0,2,3800.0
Adelie,40.3,18.0,195.0,2,3250.0
Adelie,38.82448979591837,18.76734693877551,186.59183673469389,2,3696.4285714285716
Adelie,36.7,19.3,193.0,2,3450.0
Adelie,39.3,20.6,190.0,2,3650.0
Adelie,38.9,17.8,181.0,2,3625.0
Adelie,39.2,19.6,195.0,2,4675.0
Adelie,34.1,18.1,193.0,2,3475.0
Adelie,42.0,20.2,190.0,2,4250.0
Adelie,37.8,17.1,186.0,2,3300.0
Adelie,37.8,17.3,180.0,2,3700.0
Adelie,41.1,17.6,182.0,2,3200.0
Adelie,38.6,21.2,191.0,2,3800.0
Adelie,34.6,21.1,198.0,2,4400.0
Adelie,36.6,17.8,185.0,2,3700.0
Adelie,38.7,19.0,195.0,2,3450.0
Adelie,42.5,20.7,197.0,2,4500.0
Adelie,34.4,18.4,184.0,2,3325.0
Adelie,46.0,21.5,194.0,2,4200.0
Adelie,37.8,18.3,174.0,0,3400.0
Adelie,37.7,18.7,180.0,0,3600.0
Adelie,35.9,19.2,189.0,0,3800.0
Adelie,38.2,18.1,185.0,0,3950.0
Adelie,38.8,17.2,180.0,0,3800.0
Adelie,35.3,18.9,187.0,0,3800.0
Adelie,40.6,18.6,183.0,0,3550.0
Adelie,40.5,17.9,187.0,0,3200.0
Adelie,37.9,18.6,172.0,0,3150.0
Adelie,40.5,18.9,180.0,0,3950.0
Adelie,39.5,16.7,178.0,1,3250.0
Adelie,37.2,18.1,178.0,1,3900.0
Adelie,39.5,17.8,188.0,1,3300.0
Adelie,40.9,18.9,184.0,1,3900.0
Adelie,36.4,17.0,195.0,1,3325.0
Adelie,39.2,21.1,196.0,1,4150.0
Adelie,38.8,20.0,190.0,1,3950.0
Adelie,42.2,18.5,180.0,1,3550.0
Adelie,37.6,19.3,181.0,1,3300.0
Adelie,39.8,19.1,184.0,1,4650.0
Adelie,36.5,18.0,182.0,1,3150.0
Adelie,40.8,18.4,195.0,1,3900.0
Adelie,36.0,18.5,186.0,1,3100.0
Adelie,44.1,19.7,196.0,1,4400.0
Adelie,37.0,16.9,185.0,1,3000.0
Adelie,39.6,18.8,190.0,1,4600.0
Adelie,41.1,19.0,182.0,1,3425.0
Adelie,37.5,18.9,179.0,1,2975.0
Adelie,36.0,17.9,190.0,1,3450.0
Adelie,42.3,21.2,191.0,1,4150.0
Chinstrap,46.5,17.9,192.0,1,3500.0
Chinstrap,50.0,19.5,196.0,1,3900.0
Chinstrap,51.3,19.2,193.0,1,3650.0
Chinstrap,45.4,18.7,188.0,1,3525.0
Chinstrap,52.7,19.8,197.0,1,3725.0
Chinstrap,45.2,17.8,198.0,1,3950.0
Chinstrap,46.1,18.2,178.0,1,3250.0
Chinstrap,51.3,18.2,197.0,1,3750.0
Chinstrap,46.0,18.9,195.0,1,4150.0
Chinstrap,51.3,19.9,198.0,1,3700.0
Chinstrap,46.6,17.8,193.0,1,3800.0
Chinstrap,51.7,20.3,194.0,1,3775.0
Chinstrap,47.0,17.3,185.0,1,3700.0
Chinstrap,52.0,18.1,201.0,1,4050.0
Chinstrap,45.9,17.1,190.0,1,3575.0
Chinstrap,50.5,19.6,201.0,1,4050.0
Chinstrap,50.3,20.0,197.0,1,3300.0
Chinstrap,58.0,17.8,181.0,1,3700.0
Chinstrap,46.4,18.6,190.0,1,3450.0
Chinstrap,49.2,18.2,195.0,1,4400.0
Chinstrap,42.4,17.3,181.0,1,3600.0
Chinstrap,48.5,17.5,191.0,1,3400.0
Chinstrap,43.2,16.6,187.0,1,2900.0
Chinstrap,50.6,19.4,193.0,1,3800.0
Chinstrap,46.7,17.9,195.0,1,3300.0
Chinstrap,52.0,19.0,197.0,1,4150.0
Chinstrap,50.5,18.4,200.0,1,3400.0
Chinstrap,49.5,19.0,200.0,1,3800.0
Chinstrap,46.4,17.8,191.0,1,3700.0
Chinstrap,52.8,20.0,205.0,1,4550.0
Chinstrap,40.9,16.6,187.0,1,3200.0
Chinstrap,54.2,20.8,201.0,1,4300.0
Chinstrap,42.5,16.7,187.0,1,3350.0
Chinstrap,51.0,18.8,203.0,1,4100.0
Chinstrap,49.7,18.6,195.0,1,3600.0
Chinstrap,47.5,16.8,199.0,1,3900.0
Chinstrap,47.6,18.3,195.0,1,3850.0
Chinstrap,52.0,20.7,210.0,1,4800.0
Chinstrap,46.9,16.6,192.0,1,2700.0
Chinstrap,53.5,19.9,205.0,1,4500.0
Chinstrap,49.0,19.5,210.0,1,3950.0
Chinstrap,46.2,17.5,187.0,1,3650.0
Chinstrap,50.9,19.1,196.0,1,3550.0
Chinstrap,45.5,17.0,196.0,1,3500.0
Chinstrap,50.9,17.9,196.0,1,3675.0
Chinstrap,50.8,18.5,201.0,1,4450.0
Chinstrap,50.1,17.9,190.0,1,3400.0
Chinstrap,49.0,19.6,212.0,1,4300.0
Chinstrap,51.5,18.7,187.0,1,3250.0
Chinstrap,49.8,17.3,198.0,1,3675.0
Gentoo,46.1,13.2,211.0,0,4500.0
Gentoo,50.0,16.3,230.0,0,5700.0
Gentoo,48.7,14.1,210.0,0,4450.0
Gentoo,50.0,15.2,218.0,0,5700.0
Gentoo,47.6,14.5,215.0,0,5400.0
Gentoo,46.5,13.5,210.0,0,4550.0
Gentoo,45.4,14.6,211.0,0,4800.0
Gentoo,46.7,15.3,219.0,0,5200.0
Gentoo,43.3,13.4,209.0,0,4400.0
Gentoo,46.8,15.4,215.0,0,5150.0
Gentoo,40.9,13.7,214.0,0,4650.0
Gentoo,49.0,16.1,216.0,0,5550.0
Gentoo,45.5,13.7,214.0,0,4650.0
Gentoo,48.4,14.6,213.0,0,5850.0
Gentoo,45.8,14.6,210.0,0,4200.0
Gentoo,49.3,15.7,217.0,0,5850.0
Gentoo,42.0,13.5,210.0,0,4150.0
Gentoo,49.2,15.2,221.0,0,6300.0
Gentoo,46.2,14.5,209.0,0,4800.0
Gentoo,48.7,15.1,222.0,0,5350.0
Gentoo,50.2,14.3,218.0,0,5700.0
Gentoo,45.1,14.5,215.0,0,5000.0
Gentoo,46.5,14.5,213.0,0,4400.0
Gentoo,46.3,15.8,215.0,0,5050.0
Gentoo,42.9,13.1,215.0,0,5000.0
Gentoo,46.1,15.1,215.0,0,5100.0
Gentoo,44.5,14.3,216.0,0,4100.0
Gentoo,47.8,15.0,215.0,0,5650.0
Gentoo,48.2,14.3,210.0,0,4600.0
Gentoo,50.0,15.3,220.0,0,5550.0
Gentoo,47.3,15.3,222.0,0,5250.0
Gentoo,42.8,14.2,209.0,0,4700.0
Gentoo,45.1,14.5,207.0,0,5050.0
Gentoo,59.6,17.0,230.0,0,6050.0
Gentoo,49.1,14.8,220.0,0,5150.0
Gentoo,48.4,16.3,220.0,0,5400.0
Gentoo,50.5,15.2,216.0,0,5000.0
Gentoo,49.8,15.9,229.0,0,5950.0
Gentoo,43.5,15.2,213.0,0,4650.0
Gentoo,51.5,16.3,230.0,0,5500.0
Gentoo,46.2,14.1,217.0,0,4375.0
Gentoo,55.1,16.0,230.0,0,5850.0
Gentoo,44.5,15.7,217.0,0,4875.0
Gentoo,48.8,16.2,222.0,0,6000.0
Gentoo,47.2,13.7,214.0,0,4925.0
Gentoo,47.457142857142856,14.891836734693877,216.40816326530611,0,5128.061224489796
Gentoo,46.8,14.3,215.0,0,4850.0
Gentoo,50.4,15.7,222.0,0,5750.0
Gentoo,45.2,14.8,212.0,0,5200.0
Gentoo,49.9,16.1,213.0,0,5400.0
